sample_name	age	age_units	anonymized_name	bmi	body_habitat	body_product	body_site	collection_timestamp	country	description	diet	dna_extracted	elevation	env_biome	env_feature	env_material	env_package	geo_loc_name	habitat2	height	height_units	host_common_name	host_scientific_name	host_subject_id	host_taxid	latitude	life_stage	longitude	physical_speciman_location	physical_specimen_location	physical_specimen_remaining	public	qiita_study_id	sample_type	scientific_name	sex	taxon_id	title	weight	weight_units
11212.AC622	Missing: Not provided	Missing: Not provided	AC622	Not applicable	UBERON:feces	UBERON:feces	UBERON:feces	2014	Argentina	Amato_Monkey_Plate1_AC622_A6	Folivore	TRUE	62.2	tropical broadleaf forest biome	animalia-associated habitat	feces	host-associated	Argentina	Atlantic Forest	Missing: Not provided	Missing: Not provided	black howler monkey	Alouatta caraya	AC622	9502	-27.5	Missing: Not provided	-58.68	Northwestern University	Northwestern University	TRUE	TRUE	11212	stool	gut metagenome	Missing: Not provided	749906	Evolutionary trends in host physiology, more than diet, determine the mammalian gut microbiota 	Missing: Not provided	Missing: Not provided
11212.AC660	Missing: Not provided	Missing: Not provided	AC660	Not applicable	UBERON:feces	UBERON:feces	UBERON:feces	2014	Argentina	Amato_Monkey_Plate1_AC660_A7	Folivore	TRUE	62.2	tropical broadleaf forest biome	animalia-associated habitat	feces	host-associated	Argentina	Atlantic Forest	Missing: Not provided	Missing: Not provided	black howler monkey	Alouatta caraya	AC660	9502	-27.5	Missing: Not provided	-58.68	Northwestern University	Northwestern University	TRUE	TRUE	11212	stool	gut metagenome	Missing: Not provided	749906	Evolutionary trends in host physiology, more than diet, determine the mammalian gut microbiota 	Missing: Not provided	Missing: Not provided
11212.AC665	Missing: Not provided	Missing: Not provided	AC665	Not applicable	UBERON:feces	UBERON:feces	UBERON:feces	2014	Argentina	Amato_Monkey_Plate1_AC665_G2	Folivore	TRUE	62.2	tropical broadleaf forest biome	animalia-associated habitat	feces	host-associated	Argentina	Atlantic Forest	Missing: Not provided	Missing: Not provided	black howler monkey	Alouatta caraya	AC665	9502	-27.5	Missing: Not provided	-58.68	Northwestern University	Northwestern University	TRUE	TRUE	11212	stool	gut metagenome	Missing: Not provided	749906	Evolutionary trends in host physiology, more than diet, determine the mammalian gut microbiota 	Missing: Not provided	Missing: Not provided
11212.AC667	Missing: Not provided	Missing: Not provided	AC667	Not applicable	UBERON:feces	UBERON:feces	UBERON:feces	2014	Argentina	Amato_Monkey_Plate1_AC667_H5	Folivore	TRUE	62.2	tropical broadleaf forest biome	animalia-associated habitat	feces	host-associated	Argentina	Atlantic Forest	Missing: Not provided	Missing: Not provided	black howler monkey	Alouatta caraya	AC667	9502	-27.5	Missing: Not provided	-58.68	Northwestern University	Northwestern University	TRUE	TRUE	11212	stool	gut metagenome	Missing: Not provided	749906	Evolutionary trends in host physiology, more than diet, determine the mammalian gut microbiota 	Missing: Not provided	Missing: Not provided
11212.AC668	Missing: Not provided	Missing: Not provided	AC668	Not applicable	UBERON:feces	UBERON:feces	UBERON:feces	2014	Argentina	Amato_Monkey_Plate1_AC668_B6	Folivore	TRUE	62.2	tropical broadleaf forest biome	animalia-associated habitat	feces	host-associated	Argentina	Atlantic Forest	Missing: Not provided	Missing: Not provided	black howler monkey	Alouatta caraya	AC668	9502	-27.5	Missing: Not provided	-58.68	Northwestern University	Northwestern University	TRUE	TRUE	11212	stool	gut metagenome	Missing: Not provided	749906	Evolutionary trends in host physiology, more than diet, determine the mammalian gut microbiota 	Missing: Not provided	Missing: Not provided
11212.AC673	Missing: Not provided	Missing: Not provided	AC673	Not applicable	UBERON:feces	UBERON:feces	UBERON:feces	2014	Argentina	Amato_Monkey_Plate1_AC673_H6	Folivore	TRUE	62.2	tropical broadleaf forest biome	animalia-associated habitat	feces	host-associated	Argentina	Atlantic Forest	Missing: Not provided	Missing: Not provided	black howler monkey	Alouatta caraya	AC673	9502	-27.5	Missing: Not provided	-58.68	Northwestern University	Northwestern University	TRUE	TRUE	11212	stool	gut metagenome	Missing: Not provided	749906	Evolutionary trends in host physiology, more than diet, determine the mammalian gut microbiota 	Missing: Not provided	Missing: Not provided
11212.AC674	Missing: Not provided	Missing: Not provided	AC674	Not applicable	UBERON:feces	UBERON:feces	UBERON:feces	2014	Argentina	Amato_Monkey_Plate1_AC674_H7	Folivore	TRUE	62.2	tropical broadleaf forest biome	animalia-associated habitat	feces	host-associated	Argentina	Atlantic Forest	Missing: Not provided	Missing: Not provided	black howler monkey	Alouatta caraya	AC674	9502	-27.5	Missing: Not provided	-58.68	Northwestern University	Northwestern University	TRUE	TRUE	11212	stool	gut metagenome	Missing: Not provided	749906	Evolutionary trends in host physiology, more than diet, determine the mammalian gut microbiota 	Missing: Not provided	Missing: Not provided
11212.AC679	Missing: Not provided	Missing: Not provided	AC679	Not applicable	UBERON:feces	UBERON:feces	UBERON:feces	2014	Argentina	Amato_Monkey_Plate1_AC679_C4	Folivore	TRUE	62.2	tropical broadleaf forest biome	animalia-associated habitat	feces	host-associated	Argentina	Atlantic Forest	Missing: Not provided	Missing: Not provided	black howler monkey	Alouatta caraya	AC679	9502	-27.5	Missing: Not provided	-58.68	Northwestern University	Northwestern University	TRUE	TRUE	11212	stool	gut metagenome	Missing: Not provided	749906	Evolutionary trends in host physiology, more than diet, determine the mammalian gut microbiota 	Missing: Not provided	Missing: Not provided
11212.AC680	Missing: Not provided	Missing: Not provided	AC680	Not applicable	UBERON:feces	UBERON:feces	UBERON:feces	2014	Argentina	Amato_Monkey_Plate1_AC680_H8	Folivore	TRUE	62.2	tropical broadleaf forest biome	animalia-associated habitat	feces	host-associated	Argentina	Atlantic Forest	Missing: Not provided	Missing: Not provided	black howler monkey	Alouatta caraya	AC680	9502	-27.5	Missing: Not provided	-58.68	Northwestern University	Northwestern University	TRUE	TRUE	11212	stool	gut metagenome	Missing: Not provided	749906	Evolutionary trends in host physiology, more than diet, determine the mammalian gut microbiota 	Missing: Not provided	Missing: Not provided
11212.AC683	Missing: Not provided	Missing: Not provided	AC683	Not applicable	UBERON:feces	UBERON:feces	UBERON:feces	2014	Argentina	Amato_Monkey_Plate1_AC683_C6	Folivore	TRUE	62.2	tropical broadleaf forest biome	animalia-associated habitat	feces	host-associated	Argentina	Atlantic Forest	Missing: Not provided	Missing: Not provided	black howler monkey	Alouatta caraya	AC683	9502	-27.5	Missing: Not provided	-58.68	Northwestern University	Northwestern University	TRUE	TRUE	11212	stool	gut metagenome	Missing: Not provided	749906	Evolutionary trends in host physiology, more than diet, determine the mammalian gut microbiota 	Missing: Not provided	Missing: Not provided
11212.AC684	Missing: Not provided	Missing: Not provided	AC684	Not applicable	UBERON:feces	UBERON:feces	UBERON:feces	2014	Argentina	Amato_Monkey_Plate1_AC684_H5	Folivore	TRUE	62.2	tropical broadleaf forest biome	animalia-associated habitat	feces	host-associated	Argentina	Atlantic Forest	Missing: Not provided	Missing: Not provided	black howler monkey	Alouatta caraya	AC684	9502	-27.5	Missing: Not provided	-58.68	Northwestern University	Northwestern University	TRUE	TRUE	11212	stool	gut metagenome	Missing: Not provided	749906	Evolutionary trends in host physiology, more than diet, determine the mammalian gut microbiota 	Missing: Not provided	Missing: Not provided
11212.AC685	Missing: Not provided	Missing: Not provided	AC685	Not applicable	UBERON:feces	UBERON:feces	UBERON:feces	2014	Argentina	Amato_Monkey_Plate1_AC685_E4	Folivore	TRUE	62.2	tropical broadleaf forest biome	animalia-associated habitat	feces	host-associated	Argentina	Atlantic Forest	Missing: Not provided	Missing: Not provided	black howler monkey	Alouatta caraya	AC685	9502	-27.5	Missing: Not provided	-58.68	Northwestern University	Northwestern University	TRUE	TRUE	11212	stool	gut metagenome	Missing: Not provided	749906	Evolutionary trends in host physiology, more than diet, determine the mammalian gut microbiota 	Missing: Not provided	Missing: Not provided
11212.AC691	Missing: Not provided	Missing: Not provided	AC691	Not applicable	UBERON:feces	UBERON:feces	UBERON:feces	2014	Argentina	Amato_Monkey_Plate1_AC691_G7	Folivore	TRUE	62.2	tropical broadleaf forest biome	animalia-associated habitat	feces	host-associated	Argentina	Atlantic Forest	Missing: Not provided	Missing: Not provided	black howler monkey	Alouatta caraya	AC691	9502	-27.5	Missing: Not provided	-58.68	Northwestern University	Northwestern University	TRUE	TRUE	11212	stool	gut metagenome	Missing: Not provided	749906	Evolutionary trends in host physiology, more than diet, determine the mammalian gut microbiota 	Missing: Not provided	Missing: Not provided
11212.AC693	Missing: Not provided	Missing: Not provided	AC693	Not applicable	UBERON:feces	UBERON:feces	UBERON:feces	2014	Argentina	Amato_Monkey_Plate1_AC693_G5	Folivore	TRUE	62.2	tropical broadleaf forest biome	animalia-associated habitat	feces	host-associated	Argentina	Atlantic Forest	Missing: Not provided	Missing: Not provided	black howler monkey	Alouatta caraya	AC693	9502	-27.5	Missing: Not provided	-58.68	Northwestern University	Northwestern University	TRUE	TRUE	11212	stool	gut metagenome	Missing: Not provided	749906	Evolutionary trends in host physiology, more than diet, determine the mammalian gut microbiota 	Missing: Not provided	Missing: Not provided
11212.AC711	Missing: Not provided	Missing: Not provided	AC711	Not applicable	UBERON:feces	UBERON:feces	UBERON:feces	2014	Argentina	Amato_Monkey_Plate1_AC711_B7	Folivore	TRUE	62.2	tropical broadleaf forest biome	animalia-associated habitat	feces	host-associated	Argentina	Atlantic Forest	Missing: Not provided	Missing: Not provided	black howler monkey	Alouatta caraya	AC711	9502	-27.5	Missing: Not provided	-58.68	Northwestern University	Northwestern University	TRUE	TRUE	11212	stool	gut metagenome	Missing: Not provided	749906	Evolutionary trends in host physiology, more than diet, determine the mammalian gut microbiota 	Missing: Not provided	Missing: Not provided
11212.APAL36	Missing: Not provided	Missing: Not provided	APAL36	Not applicable	UBERON:feces	UBERON:feces	UBERON:feces	2014	Nicaragua	Amato_Monkey_Plate2_APAL36_D9	Folivore	TRUE	61.2	tropical broadleaf forest biome	animalia-associated habitat	feces	host-associated	Nicaragua	Dry Forest	Missing: Not provided	Missing: Not provided	mantled howler monkeys	Alouatta palliata	APAL36	30589	11.5	Missing: Not provided	-85.58	Northwestern University	Northwestern University	TRUE	TRUE	11212	stool	gut metagenome	Missing: Not provided	749906	Evolutionary trends in host physiology, more than diet, determine the mammalian gut microbiota 	Missing: Not provided	Missing: Not provided
11212.APAL37	Missing: Not provided	Missing: Not provided	APAL37	Not applicable	UBERON:feces	UBERON:feces	UBERON:feces	2014	Nicaragua	Amato_Monkey_Plate2_APAL37_B8	Folivore	TRUE	61.2	tropical broadleaf forest biome	animalia-associated habitat	feces	host-associated	Nicaragua	Dry Forest	Missing: Not provided	Missing: Not provided	mantled howler monkeys	Alouatta palliata	APAL37	30589	11.5	Missing: Not provided	-85.58	Northwestern University	Northwestern University	TRUE	TRUE	11212	stool	gut metagenome	Missing: Not provided	749906	Evolutionary trends in host physiology, more than diet, determine the mammalian gut microbiota 	Missing: Not provided	Missing: Not provided
11212.APAL38	Missing: Not provided	Missing: Not provided	APAL38	Not applicable	UBERON:feces	UBERON:feces	UBERON:feces	2014	Nicaragua	Amato_Monkey_Plate2_APAL38_F6	Folivore	TRUE	61.2	tropical broadleaf forest biome	animalia-associated habitat	feces	host-associated	Nicaragua	Dry Forest	Missing: Not provided	Missing: Not provided	mantled howler monkeys	Alouatta palliata	APAL38	30589	11.5	Missing: Not provided	-85.58	Northwestern University	Northwestern University	TRUE	TRUE	11212	stool	gut metagenome	Missing: Not provided	749906	Evolutionary trends in host physiology, more than diet, determine the mammalian gut microbiota 	Missing: Not provided	Missing: Not provided
11212.APAL39	Missing: Not provided	Missing: Not provided	APAL39	Not applicable	UBERON:feces	UBERON:feces	UBERON:feces	2014	Nicaragua	Amato_Monkey_Plate2_APAL39_H8	Folivore	TRUE	61.2	tropical broadleaf forest biome	animalia-associated habitat	feces	host-associated	Nicaragua	Dry Forest	Missing: Not provided	Missing: Not provided	mantled howler monkeys	Alouatta palliata	APAL39	30589	11.5	Missing: Not provided	-85.58	Northwestern University	Northwestern University	TRUE	TRUE	11212	stool	gut metagenome	Missing: Not provided	749906	Evolutionary trends in host physiology, more than diet, determine the mammalian gut microbiota 	Missing: Not provided	Missing: Not provided
11212.APF103	Missing: Not provided	Missing: Not provided	APF103	Not applicable	UBERON:feces	UBERON:feces	UBERON:feces	2014	Mexico	Amato_Monkey_Plate1_APF103_B5	Folivore	TRUE	261.8	tropical broadleaf forest biome	animalia-associated habitat	feces	host-associated	Mexico	Rainforest	Missing: Not provided	Missing: Not provided	howler monkey	Alouatta pigra	APF103	182253	17.4	Missing: Not provided	-92.03	Northwestern University	Northwestern University	TRUE	TRUE	11212	stool	gut metagenome	Missing: Not provided	749906	Evolutionary trends in host physiology, more than diet, determine the mammalian gut microbiota 	Missing: Not provided	Missing: Not provided
11212.APF104	Missing: Not provided	Missing: Not provided	APF104	Not applicable	UBERON:feces	UBERON:feces	UBERON:feces	2014	Mexico	Amato_Monkey_Plate1_APF104_F4	Folivore	TRUE	261.8	tropical broadleaf forest biome	animalia-associated habitat	feces	host-associated	Mexico	Rainforest	Missing: Not provided	Missing: Not provided	howler monkey	Alouatta pigra	APF104	182253	17.4	Missing: Not provided	-92.03	Northwestern University	Northwestern University	TRUE	TRUE	11212	stool	gut metagenome	Missing: Not provided	749906	Evolutionary trends in host physiology, more than diet, determine the mammalian gut microbiota 	Missing: Not provided	Missing: Not provided
