n_conf   beta   p_new   p_new_wt1   p_new_omni   p_comp   p_compHM   p_pool   p_16S   p_shot   new_n   new_sen   new_fdr   newwt1_n   newwt1_sen   newwt1_fdr   newOmni_n   newOmni_sen   newOmni_fdr   pcom_n   pcom_sen   pcom_fdr   pcomHM_n   pcomHM_sen   pcomHM_fdr   pool_n   pool_sen   pool_fdr   S16_n   S16_sen   S16_fdr   shot_n   shot_sen   shot_fdr   J_pcom   J_pool   J_16S   J_shot
0   1   0.055   0.0506   0.0494   0.0504   0.0823   0.0567   0.0471   0.0527   0.332   0.00048   0.199   0.327   0.00046   0.196   0.336   0.000488   0.206   0.323   0.000317   0.198   0.325   0.000317   0.199   0.354   0.00053   0.212   0.341   0.000201   0.213   0.351   0.000269   0.218   129   140   94.1   104
0   3   0.135   0.125   0.129   0.125   0.186   0.133   0.107   0.101   0.922   0.00872   0.204   0.929   0.0092   0.208   0.952   0.00945   0.2   0.791   0.00739   0.185   0.796   0.00746   0.185   0.961   0.00887   0.223   0.696   0.00609   0.186   0.7   0.00507   0.215   133   145   97.9   108
0   5   0.367   0.367   0.392   0.354   0.512   0.351   0.289   0.28   3.35   0.0452   0.22   3.5   0.0476   0.214   3.66   0.0501   0.225   2.86   0.0392   0.203   2.88   0.0394   0.204   3.34   0.0456   0.215   2.03   0.0266   0.2   1.92   0.0246   0.213   137   150   98.6   112
0   6   0.534   0.561   0.593   0.535   0.709   0.546   0.467   0.418   5.57   0.0799   0.208   5.72   0.0831   0.203   5.95   0.0863   0.208   4.79   0.0709   0.182   4.81   0.071   0.182   5.57   0.0801   0.206   3.29   0.0471   0.183   3.19   0.045   0.184   137   149   99.9   109
0   7   0.635   0.663   0.699   0.643   0.8   0.624   0.561   0.509   7.18   0.105   0.215   7.45   0.11   0.204   7.67   0.114   0.209   6.45   0.0954   0.202   6.49   0.0956   0.204   7.17   0.106   0.211   4.33   0.0622   0.204   4.07   0.0585   0.19   137   149   98.3   111
0   8   0.79   0.816   0.851   0.818   0.913   0.782   0.739   0.686   10.6   0.158   0.213   11   0.164   0.216   11.4   0.17   0.218   9.52   0.144   0.206   9.58   0.144   0.208   10.6   0.158   0.213   6.49   0.0954   0.203   6.2   0.0915   0.203   140   152   101   112
0   9   0.849   0.862   0.898   0.854   0.955   0.852   0.791   0.749   12.5   0.188   0.216   12.8   0.194   0.212   13.1   0.199   0.209   11   0.167   0.205   11.1   0.168   0.208   12.4   0.188   0.212   6.99   0.105   0.206   7.15   0.106   0.199   138   151   98.8   112
0   10   0.885   0.889   0.922   0.889   0.977   0.881   0.815   0.823   14.1   0.215   0.208   14.3   0.219   0.21   14.7   0.224   0.208   12.2   0.188   0.197   12.3   0.189   0.201   14   0.214   0.205   7.31   0.112   0.192   8.56   0.128   0.208   140   152   101   113
0   20   1   1   1   0.984   1   1   0.999   0.999   29.9   0.465   0.212   29.4   0.456   0.213   30.4   0.47   0.217   26.1   0.406   0.21   26.3   0.407   0.215   30   0.466   0.213   17.2   0.267   0.207   19.4   0.302   0.208   141   153   99.4   116
0   30   1   1   1   0.986   1   1   1   1   36.2   0.558   0.22   35.7   0.549   0.222   36.8   0.561   0.229   31.4   0.485   0.219   31.7   0.486   0.225   36.2   0.558   0.22   22   0.339   0.215   23.3   0.36   0.216   139   152   99.2   113
0   40   1   1   1   0.986   1   1   1   1   39.2   0.602   0.224   38.3   0.591   0.22   39.5   0.602   0.229   34.4   0.525   0.229   34.8   0.526   0.236   39.2   0.602   0.223   23.2   0.355   0.224   26.4   0.404   0.222   138   151   96.8   114
0   50   1   1   1   0.983   1   1   1   1   41   0.622   0.233   40   0.613   0.226   41.2   0.622   0.237   36.3   0.545   0.241   36.8   0.545   0.249   41   0.623   0.232   25.3   0.38   0.236   28   0.424   0.229   139   151   99.3   114
