n_conf   beta   p_new3_wc   p_new3_we   p_new3_omni   p_new2_wc   p_new2_we   p_new2_omni   p_new1_wc   p_new1_we   p_new1_omni   p_comp   p_compHM   p_pool   p_16S   p_shot   new_n   new_sen   new_fdr   newwt1_n   newwt1_sen   newwt1_fdr   newOmni_n   newOmni_sen   newOmni_fdr   pcom_n   pcom_sen   pcom_fdr   pcomHM_n   pcomHM_sen   pcomHM_fdr   pool_n   pool_sen   pool_fdr   S16_n   S16_sen   S16_fdr   shot_n   shot_sen   shot_fdr
0   1   0.0487   0.0529   0.0495   0.0716   0.0571   0.0677   0.0988   0.184   0.148   0.0508   0.081   0.449   0.0448   0.0487   0.337   0.000383   0.199   0.354   0.000415   0.201   0.352   0.000409   0.206   0.307   0.000344   0.189   0.309   0.00035   0.189   3.46   0.00108   0.76   0.339   0.000224   0.207   0.34   0.000347   0.21
0   5   0.221   0.242   0.238   NA   NA   NA   NA   NA   NA   0.199   0.291   0.559   0.192   0.155   1.66   0.0197   0.204   1.86   0.023   0.206   1.81   0.0227   0.197   1.48   0.0179   0.194   1.51   0.0181   0.196   5.93   0.0361   0.595   1.28   0.0146   0.204   1   0.0105   0.199
0   6   0.336   0.352   0.355   NA   NA   NA   NA   NA   NA   0.309   0.448   0.644   0.277   0.201   2.6   0.0328   0.214   2.87   0.0374   0.196   2.8   0.0364   0.208   2.45   0.0316   0.212   2.49   0.0321   0.213   7.69   0.0532   0.589   1.92   0.0238   0.208   1.42   0.016   0.212
0   7   0.4   0.459   0.446   NA   NA   NA   NA   NA   NA   0.388   0.542   0.701   0.346   0.26   3.59   0.049   0.2   4.11   0.0573   0.199   4   0.0553   0.202   3.52   0.0484   0.192   3.56   0.0488   0.193   9.03   0.0718   0.542   2.79   0.0373   0.201   1.83   0.0222   0.203
0   8   0.512   0.556   0.552   NA   NA   NA   NA   NA   NA   0.485   0.648   0.815   0.425   0.297   4.65   0.065   0.223   5.27   0.0756   0.211   5.14   0.0729   0.221   4.72   0.0663   0.205   4.78   0.0667   0.208   11.2   0.0985   0.515   3.9   0.0545   0.21   2.2   0.0275   0.214
0   9   0.557   0.602   0.607   NA   NA   NA   NA   NA   NA   0.593   0.741   0.816   0.492   0.381   5.78   0.0831   0.215   6.57   0.0949   0.213   6.51   0.0938   0.216   5.93   0.0867   0.205   5.98   0.0871   0.206   11.9   0.113   0.482   4.64   0.0666   0.196   2.72   0.0351   0.23
0   10   0.663   0.725   0.742   NA   NA   NA   NA   NA   NA   0.681   0.83   0.861   0.606   0.437   7.17   0.105   0.213   8.3   0.121   0.217   8.08   0.119   0.214   7.78   0.114   0.21   7.88   0.115   0.212   13.6   0.133   0.474   6.15   0.0897   0.212   3.42   0.0459   0.224
0   20   0.973   0.979   0.985   NA   NA   NA   NA   NA   NA   0.969   0.997   0.997   0.967   0.839   18.4   0.279   0.223   18.9   0.291   0.212   19.3   0.292   0.224   19.8   0.3   0.227   20.1   0.301   0.233   23.3   0.274   0.394   15.3   0.239   0.197   8.98   0.126   0.252
0   30   0.999   1   1   NA   NA   NA   NA   NA   NA   0.986   1   1   1   0.967   27.3   0.414   0.231   26.9   0.417   0.214   27.8   0.423   0.226   29   0.434   0.24   29.3   0.435   0.247   30.9   0.374   0.38   22.4   0.35   0.201   14.4   0.201   0.271
0   40   1   1   1   NA   NA   NA   NA   NA   NA   0.982   1   1   1   0.991   30.9   0.464   0.241   30.1   0.46   0.226   31.1   0.469   0.237   32   0.471   0.254   32.4   0.472   0.262   32.1   0.394   0.374   23.8   0.37   0.21   17.1   0.235   0.291
0   50   1   1   1   NA   NA   NA   NA   NA   NA   0.992   1   1   1   0.999   34.3   0.506   0.254   33.1   0.501   0.233   34.5   0.511   0.25   35.9   0.514   0.274   36.4   0.514   0.283   35.6   0.433   0.383   27   0.415   0.221   19.8   0.265   0.313
