n_conf   beta   p_new   p_new_wt1   p_new_omni   p_comp   p_compHM   p_pool   p_16S   p_shot   new_n   new_sen   new_fdr   newwt1_n   newwt1_sen   newwt1_fdr   newOmni_n   newOmni_sen   newOmni_fdr   pcom_n   pcom_sen   pcom_fdr   pcomHM_n   pcomHM_sen   pcomHM_fdr   pool_n   pool_sen   pool_fdr   S16_n   S16_sen   S16_fdr   shot_n   shot_sen   shot_fdr   J_pcom   J_pool   J_16S   J_shot
1   1   0.0606   0.062   0.0601   0.0642   0.0994   0.0569   0.0532   0.0621   0.408   0.00066   0.207   0.409   0.000613   0.216   0.421   0.000662   0.219   0.412   0.000358   0.216   0.413   0.000358   0.216   0.438   0.000728   0.219   0.403   0.00025   0.221   0.434   0.000282   0.227   128   139   93.6   103
1   6   0.383   0.437   0.438   0.405   0.52   0.385   0.295   0.315   2.98   0.0362   0.223   3.1   0.0395   0.234   3.2   0.0402   0.229   2.63   0.0321   0.226   2.66   0.0322   0.227   2.99   0.0364   0.236   1.74   0.0195   0.215   1.92   0.0214   0.232   135   147   98.3   109
1   7   0.462   0.514   0.519   0.485   0.632   0.441   0.385   0.382   4.16   0.0548   0.233   4.35   0.0577   0.243   4.56   0.0605   0.245   3.76   0.0495   0.23   3.78   0.0495   0.231   4.11   0.0536   0.236   2.38   0.0301   0.215   2.71   0.0332   0.239   137   150   99   111
1   8   0.54   0.606   0.614   0.585   0.72   0.543   0.479   0.479   5.61   0.0759   0.236   5.77   0.0797   0.226   6.13   0.0842   0.223   5.29   0.0714   0.229   5.32   0.0716   0.23   5.7   0.0767   0.236   3.46   0.0454   0.225   3.84   0.0493   0.24   138   150   99.7   111
1   9   0.643   0.695   0.709   0.659   0.784   0.629   0.541   0.523   6.55   0.0913   0.223   7   0.0997   0.223   7.23   0.101   0.231   5.93   0.0831   0.217   5.98   0.0834   0.218   6.44   0.0899   0.224   3.95   0.0534   0.212   3.9   0.0522   0.212   139   151   99.8   112
1   10   0.736   0.791   0.799   0.746   0.855   0.709   0.625   0.607   8.27   0.115   0.234   9.06   0.127   0.247   9.43   0.131   0.243   7.7   0.107   0.231   7.78   0.107   0.233   8.2   0.114   0.233   5.12   0.0695   0.225   5.24   0.0711   0.223   140   153   101   114
1   20   0.971   0.98   0.986   0.955   0.991   0.969   0.922   0.934   19.5   0.283   0.246   19.7   0.293   0.237   20.7   0.302   0.246   17.4   0.257   0.233   17.5   0.257   0.236   19.3   0.282   0.24   11.3   0.166   0.224   12.3   0.179   0.232   139   151   97.4   112
1   30   0.994   0.999   0.996   0.983   0.999   0.996   0.986   0.987   26.9   0.4   0.24   27.2   0.407   0.236   28.3   0.42   0.242   24.4   0.364   0.238   24.7   0.364   0.243   26.8   0.399   0.238   16.6   0.246   0.233   17.3   0.258   0.229   139   151   98.7   113
1   40   0.999   1   1   0.986   1   0.999   0.997   0.997   30.3   0.446   0.246   30.2   0.451   0.238   31.4   0.464   0.246   27.2   0.403   0.245   27.5   0.403   0.25   30.2   0.447   0.245   19.2   0.285   0.239   20   0.296   0.238   140   152   97.6   114
1   50   1   1   1   0.984   1   1   1   1   35   0.512   0.253   34.4   0.512   0.244   35.8   0.524   0.254   32   0.465   0.259   32.5   0.467   0.266   34.8   0.511   0.249   22.1   0.323   0.247   24.2   0.356   0.246   137   150   95.6   111
1   60   1   1   1   0.992   1   1   1   1   36.7   0.538   0.254   35.9   0.537   0.24   37.6   0.55   0.255   33.8   0.489   0.263   34.2   0.49   0.27   36.8   0.539   0.254   23.1   0.339   0.25   25.5   0.373   0.253   137   149   95.3   112
