n_conf   beta   p_new   p_new_wt1   p_new_omni   p_comp   p_compHM   p_pool   p_16S   p_shot   new_n   new_sen   new_fdr   newwt1_n   newwt1_sen   newwt1_fdr   newOmni_n   newOmni_sen   newOmni_fdr   pcom_n   pcom_sen   pcom_fdr   pcomHM_n   pcomHM_sen   pcomHM_fdr   pool_n   pool_sen   pool_fdr   S16_n   S16_sen   S16_fdr   shot_n   shot_sen   shot_fdr   J_pcom   J_pool   J_16S   J_shot
0   1   0.0528   0.0525   0.0468   0.0551   0.0851   0.0511   0.0476   0.0525   0.328   0.000955   0.18   0.334   0.000976   0.18   0.344   0.00101   0.186   0.333   0.000896   0.185   0.333   0.000896   0.185   0.355   0.00103   0.193   0.352   0.000931   0.193   0.367   0.00083   0.204   185   196   153   143
0   3   0.186   0.191   0.179   0.213   0.319   0.216   0.174   0.176   1.66   0.0173   0.232   1.52   0.0165   0.23   1.65   0.0175   0.226   1.61   0.0172   0.215   1.61   0.0172   0.215   1.65   0.0172   0.228   1.48   0.0161   0.206   1.3   0.0141   0.205   192   203   159   150
0   5   0.581   0.545   0.57   0.614   0.796   0.567   0.535   0.498   7.25   0.101   0.24   6.63   0.0913   0.241   7.17   0.0998   0.241   7.14   0.101   0.225   7.14   0.101   0.225   7.12   0.0984   0.241   6.24   0.0862   0.224   5.42   0.0768   0.22   195   205   161   152
0   6   0.778   0.727   0.751   0.777   0.913   0.769   0.706   0.693   12.5   0.18   0.241   11.2   0.16   0.238   12.2   0.174   0.243   12.4   0.178   0.241   12.4   0.178   0.241   12.4   0.179   0.236   10.2   0.146   0.24   9.74   0.14   0.235   195   204   160   153
0   7   0.899   0.863   0.884   0.886   0.967   0.895   0.839   0.823   17.1   0.254   0.236   15.2   0.223   0.236   16.6   0.244   0.237   16.8   0.249   0.236   16.8   0.249   0.237   17   0.251   0.238   13.9   0.206   0.228   13   0.193   0.229   195   205   161   154
0   8   0.966   0.937   0.958   0.944   0.996   0.964   0.925   0.919   22.7   0.341   0.228   20.4   0.303   0.236   22.2   0.331   0.235   22.6   0.34   0.229   22.7   0.34   0.23   22.6   0.339   0.23   18.6   0.279   0.231   17.1   0.258   0.223   195   205   160   154
0   9   0.991   0.969   0.982   0.959   0.999   0.982   0.967   0.951   26.4   0.4   0.226   23.8   0.355   0.236   25.7   0.388   0.231   26   0.394   0.227   26.1   0.395   0.228   26.4   0.4   0.228   21.4   0.324   0.223   20   0.302   0.223   195   204   163   154
0   10   0.997   0.994   0.996   0.987   1   0.996   0.989   0.973   31.2   0.477   0.224   28.6   0.431   0.233   30.6   0.464   0.229   30.7   0.465   0.23   30.8   0.465   0.231   31.1   0.474   0.225   26.3   0.399   0.227   23.4   0.357   0.219   195   204   159   154
0   20   1   1   1   0.979   1   1   1   1   47.6   0.746   0.21   45.3   0.697   0.224   47.1   0.733   0.216   46.4   0.72   0.218   46.5   0.72   0.22   47.5   0.745   0.209   39.3   0.614   0.21   37.5   0.586   0.21   195   204   164   153
0   30   1   1   1   0.975   1   1   1   1   53.3   0.841   0.206   52   0.802   0.223   53.2   0.831   0.213   52.3   0.813   0.217   52.4   0.813   0.219   53.5   0.84   0.21   43.9   0.689   0.209   42.7   0.671   0.208   193   202   157   156
0   40   1   1   1   0.976   1   1   1   1   54.6   0.871   0.198   54.3   0.839   0.221   54.8   0.864   0.207   53.5   0.84   0.21   53.6   0.84   0.211   54.8   0.87   0.2   45.3   0.718   0.2   43.6   0.688   0.204   193   201   161   155
0   50   1   1   1   0.98   1   1   1   1   56.4   0.899   0.198   56.7   0.873   0.224   56.9   0.894   0.209   55.5   0.87   0.212   55.7   0.87   0.214   56.8   0.898   0.204   46.9   0.738   0.207   45   0.711   0.203   193   201   158   156
